"Species","LakeClass","Age","Median Total Length (mm)","Lower Quartile Total Length (mm)","Upper Quartile Total Length (mm)"
"Northern Pike","Complex Warm Clear",12,216.047932649453,187.151809772903,252.02833482925
"Northern Pike","Complex Warm Clear",13,218.260444111906,190.712272314115,253.307316805009
"Northern Pike","Complex Warm Clear",14,219.926681078792,193.641609212088,254.183134901556
"Northern Pike","Complex Warm Clear",15,221.181520060164,196.05169345325,254.782875439562
"Northern Pike","Complex Warm Dark",1,66.7171098675928,53.3862080851312,82.241731402089
"Northern Pike","Complex Warm Dark",2,98.9066557335956,74.8799076079769,130.628820872815
"Northern Pike","Complex Warm Dark",3,125.990740199682,93.9056566938703,169.223372604721
"Northern Pike","Complex Warm Dark",4,148.779121074009,110.746830447817,200.007192001172
"Northern Pike","Complex Warm Dark",5,167.953123559626,125.654266267042,224.561008384791
"Northern Pike","Complex Warm Dark",6,184.086010461329,138.849999886988,244.145644431286
"Northern Pike","Complex Warm Dark",7,197.660121551509,150.530572446893,259.766758602748
"Northern Pike","Complex Warm Dark",8,209.081294526389,160.869957831345,272.226485062742
"Northern Pike","Complex Warm Dark",9,218.690998709266,170.022153888512,282.164622749584
"Northern Pike","Complex Warm Dark",10,226.776544273238,178.123476119406,290.091488640241
"Northern Pike","Complex Warm Dark",11,233.579672217963,185.294588001058,296.414122198804
"Northern Pike","Complex Warm Dark",12,239.303781922882,191.642298183857,301.457186591125
"Northern Pike","Complex Warm Dark",13,244.120012365726,197.261151331011,305.479639929521
"Northern Pike","Complex Warm Dark",14,248.172358822093,202.234836294578,308.688032605253
"Northern Pike","Complex Warm Dark",15,251.581978024766,206.637432601861,311.247113518246
"Northern Pike","Simple Cool Dark",1,56.6055626403194,51.0257387526334,42.2796974055866
"Northern Pike","Simple Cool Dark",2,91.4765975140847,69.2311662286016,113.384384546814
"Northern Pike","Simple Cool Dark",3,119.557042393098,85.3085518949041,164.081263107953
"Northern Pike","Simple Cool Dark",4,142.169258734189,99.5066436565082,200.227593247033
"Northern Pike","Simple Cool Dark",5,160.378098731537,112.045113147443,225.999538573957
"Northern Pike","Simple Cool Dark",6,175.041051227994,123.117954471111,244.374658907843
"Northern Pike","Simple Cool Dark",7,186.848622492536,132.896485660086,257.475922433032
"Northern Pike","Simple Cool Dark",8,196.356853471321,141.531999293734,266.816982673052
"Northern Pike","Simple Cool Dark",9,204.013504811416,149.158103283768,273.477058339794
"Northern Pike","Simple Cool Dark",10,210.179142759692,155.892788044176,278.225620788485
"Northern Pike","Simple Cool Dark",11,215.144118911884,161.840252028583,281.611294834461
"Northern Pike","Simple Cool Dark",12,219.142243420433,167.092513879615,284.025244081091
"Northern Pike","Simple Cool Dark",13,222.361795558422,171.730836133289,285.746363978097
"Northern Pike","Simple Cool Dark",14,224.954390147978,175.826982505867,286.973503986946
"Northern Pike","Simple Cool Dark",15,227.042117390062,179.444328215793,287.848441638842
"Northern Pike","Simple Warm Clear",1,49.7844680938522,37.4975769160467,55.8209985281061
"Northern Pike","Simple Warm Clear",2,80.0333105557577,52.1797189392648,121.83591301063
"Northern Pike","Simple Warm Clear",3,106.206072826753,65.7090119171102,174.057582575181
"Northern Pike","Simple Warm Clear",4,128.852013270811,78.1759781261905,215.36798634509
"Northern Pike","Simple Warm Clear",5,148.446376803627,89.6640319892314,248.046938853942
"Northern Pike","Simple Warm Clear",6,165.400368323855,100.250038187275,273.897907123919
"Northern Pike","Simple Warm Clear",7,180.069782208443,110.004825948635,294.347539354765
"Northern Pike","Simple Warm Clear",8,192.762468969587,118.993662955621,310.52439795478
"Northern Pike","Simple Warm Clear",9,203.744795767645,127.276692039885,323.321241986533
"Northern Pike","Simple Warm Clear",10,213.247236359543,134.909333588224,333.44429623471
"Northern Pike","Simple Warm Clear",11,221.469207792639,141.942656351282,341.452225928723
"Northern Pike","Simple Warm Clear",12,228.583255346305,148.423719136173,347.786968034426
"Northern Pike","Simple Warm Clear",13,234.738673545898,154.395885669227,352.798120614322
"Northern Pike","Simple Warm Clear",14,240.064639239276,159.899114735557,356.762236242074
"Northern Pike","Simple Warm Clear",15,244.672922486208,164.97022753673,359.898084225076
"Rock Bass","Complex Cool Dark",1,68.1678300999288,64.6130971120658,71.3876772444152
"Rock Bass","Complex Cool Dark",2,101.792106226196,91.8910178488177,112.628572234495
"Rock Bass","Complex Cool Dark",3,130.973706494046,116.069344422383,147.679261864855
"Rock Bass","Complex Cool Dark",4,156.29962848549,137.500284175439,177.468888008015
"Rock Bass","Complex Cool Dark",5,178.279311533349,156.496023078282,202.787129535012
"Rock Bass","Complex Cool Dark",6,197.35488426265,173.333273363284,224.305135532765
"Rock Bass","Complex Cool Dark",7,213.910058154762,188.25730441097,242.59331647241
"Rock Bass","Complex Cool Dark",8,228.2778460313,201.485515605925,258.136464946116
"Rock Bass","Complex Cool Dark",9,240.74726071764,213.210603208544,271.346606800737
"Rock Bass","Complex Cool Dark",10,251.569128631893,223.603367374686,282.573923332803
"Rock Bass","Complex Cool Dark",11,260.96113524162,232.815200213267,292.116034076081
"Rock Bass","Complex Cool Dark",12,269.112203879317,240.980291125502,300.225886254644
"Rock Bass","Complex Cool Dark",13,276.186295997994,248.21758155112,307.118460039167
"Rock Bass","Complex Cool Dark",14,282.325709310269,254.632497596483,312.976467352873
"Rock Bass","Complex Cool Dark",15,287.653940154114,260.318485783912,317.955195294022
"Rock Bass","Complex Two Story",1,19.5702164923242,38.6116170758906,-69.8974788798628
"Rock Bass","Complex Two Story",2,81.311298095842,68.7641198188254,83.0271093150845
"Rock Bass","Complex Two Story",3,125.052723971148,93.464116850134,169.506595620025
"Rock Bass","Complex Two Story",4,156.042014860019,113.697589956761,218.411102343513
"Rock Bass","Complex Two Story",5,177.996858136795,130.272224902573,246.066802903925
"Rock Bass","Complex Two Story",6,193.551107023493,143.84965286757,261.706215807354
"Rock Bass","Complex Two Story",7,204.570755644045,154.971861637017,270.550368405465
"Rock Bass","Complex Two Story",8,212.37779644717,164.082830830157,275.551773231955
"Rock Bass","Complex Two Story",9,217.908815466053,171.546254809966,278.380088320477
"Rock Bass","Complex Two Story",10,221.827351587318,177.660060742308,279.979512185867
"Rock Bass","Complex Two Story",11,224.603499216034,182.668301340651,280.883992988434
"Rock Bass","Complex Two Story",12,226.570304017094,186.770897034474,281.395480618396
"Rock Bass","Complex Two Story",13,227.963717351982,190.131616452097,281.684728985925
"Rock Bass","Complex Two Story",14,228.950902618562,192.884613785222,281.848300132551
"Rock Bass","Complex Two Story",15,229.65028931607,195.139783995639,281.940800291627
"Smallmouth Bass","Complex Cool Clear",1,106.323727186684,102.980745618222,106.395651565205
"Smallmouth Bass","Complex Cool Clear",2,179.045482703362,167.708004359312,187.829944663892
"Smallmouth Bass","Complex Cool Clear",3,239.375006453801,222.323333974907,254.421879285079
"Smallmouth Bass","Complex Cool Clear",4,289.42401049799,268.406457021279,308.876649970183
"Smallmouth Bass","Complex Cool Clear",5,330.944358249733,307.290306018517,353.406397712693
"Smallmouth Bass","Complex Cool Clear",6,365.389384886099,340.099577892703,389.820074771002
"Smallmouth Bass","Complex Cool Clear",7,393.964768384186,367.783265302112,419.596930561293
"Smallmouth Bass","Complex Cool Clear",8,417.670731822188,391.142105800639,443.946603881458
"Smallmouth Bass","Complex Cool Clear",9,437.337054150338,410.8517427925,463.858262619856
"Smallmouth Bass","Complex Cool Clear",10,453.652114912422,427.482268197879,480.14078717373
"Smallmouth Bass","Complex Cool Clear",11,467.186989569157,441.514712091856,493.455629966625
"Smallmouth Bass","Complex Cool Clear",12,478.415438831158,453.35495627163,504.343685931957
"Smallmouth Bass","Complex Cool Clear",13,487.730491687344,463.345474195371,513.247265534676
"Smallmouth Bass","Complex Cool Clear",14,495.458202583914,471.775236864885,520.528062951069
"Smallmouth Bass","Complex Cool Clear",15,501.869064295911,478.888071175053,526.481849336309
"Smallmouth Bass","Complex Cool Dark",1,106.100248525235,107.71408331833,105.275028005822
"Smallmouth Bass","Complex Cool Dark",2,186.626742079164,182.646058178236,192.049409742164
"Smallmouth Bass","Complex Cool Dark",3,251.961798940824,244.06572350652,261.600318032682
"Smallmouth Bass","Complex Cool Dark",4,304.97130508873,294.409722795092,317.346365970356
"Smallmouth Bass","Complex Cool Dark",5,347.980493065635,335.675305256686,362.027620853307
"Smallmouth Bass","Complex Cool Dark",6,382.875937012452,369.499560777862,397.840285818317
"Smallmouth Bass","Complex Cool Dark",7,411.188306195041,397.224366616399,426.54464909674
"Smallmouth Bass","Complex Cool Dark",8,434.159506961332,419.949622411115,449.551606887361
"Smallmouth Bass","Complex Cool Dark",9,452.797158273457,438.576885445629,467.992012676726
"Smallmouth Bass","Complex Cool Dark",10,467.918790353835,453.845137266041,482.772261711435
"Smallmouth Bass","Complex Cool Dark",11,480.187705194278,466.360100587253,494.618842747846
"Smallmouth Bass","Complex Cool Dark",12,490.142071929424,476.618269549457,504.114046916781
"Smallmouth Bass","Complex Cool Dark",13,498.218533326902,485.026606654112,511.72458888941
"Smallmouth Bass","Complex Cool Dark",14,504.771358879797,491.918687797052,517.824547151144
"Smallmouth Bass","Complex Cool Dark",15,510.087984641184,497.56793590517,522.713750959325
"Smallmouth Bass","Complex Riverine",1,134.97772420508,132.515739892761,137.722379693631
"Smallmouth Bass","Complex Riverine",2,201.786184371663,193.729930074213,210.347317517215
"Smallmouth Bass","Complex Riverine",3,257.770719082903,245.628524910064,270.509509270192
"Smallmouth Bass","Complex Riverine",4,304.684958971368,289.629174725928,320.34761481617
"Smallmouth Bass","Complex Riverine",5,343.998421442112,326.933791360384,361.63329095328
"Smallmouth Bass","Complex Riverine",6,376.942541076429,358.561379318003,395.834170690288
"Smallmouth Bass","Complex Riverine",7,404.54924245227,385.375870666859,424.166035012934
"Smallmouth Bass","Complex Riverine",8,427.683263616429,408.109724012277,447.636031754808
"Smallmouth Bass","Complex Riverine",9,447.069242692223,427.383932171107,467.078477927449
"Smallmouth Bass","Complex Riverine",10,463.314416069577,443.724985071617,483.184518219375
"Smallmouth Bass","Complex Riverine",11,476.92763916388,457.579251233774,496.526693971426
"Smallmouth Bass","Complex Riverine",12,488.335325540045,469.325170671187,507.579296012156
"Smallmouth Bass","Complex Riverine",13,497.894803670642,479.283592273268,516.735224860715
"Smallmouth Bass","Complex Riverine",14,505.90550970831,487.726538041219,524.319957647704
"Smallmouth Bass","Complex Riverine",15,512.618366869052,494.884633579738,530.603118253423
"Smallmouth Bass","Complex Two Story",1,120.120339125538,120.258332070376,119.23046152801
"Smallmouth Bass","Complex Two Story",2,197.202262331973,193.119500149407,200.987747469696
"Smallmouth Bass","Complex Two Story",3,259.89586283071,252.88161541929,266.874884647577
"Smallmouth Bass","Complex Two Story",4,310.886904309642,301.899638540422,319.972474611527
"Smallmouth Bass","Complex Two Story",5,352.359818457533,342.105153018167,362.763134226438
"Smallmouth Bass","Complex Two Story",6,386.09128496678,375.082480366223,397.247572249376
"Smallmouth Bass","Complex Two Story",7,413.52634363681,402.1311112107,425.038133938766
"Smallmouth Bass","Complex Two Story",8,435.840299183974,424.316912468604,447.434187442611
"Smallmouth Bass","Complex Two Story",9,453.98907073024,442.514128449158,465.482876711767
"Smallmouth Bass","Complex Two Story",10,468.750142918557,457.439830955618,480.028081485395
"Smallmouth Bass","Complex Two Story",11,480.755872980961,469.682175913738,491.749873508726
"Smallmouth Bass","Complex Two Story",12,490.520580618213,479.723579995638,501.19631378761
"Smallmouth Bass","Complex Two Story",13,498.462581208383,487.959730527333,508.809077583871
"Smallmouth Bass","Complex Two Story",14,504.922106236414,494.715177776289,514.944105266968
"Smallmouth Bass","Complex Two Story",15,510.175878647288,500.256124042121,519.888244567711
"Smallmouth Bass","Complex Warm Dark",1,119.912006263303,122.003743396437,119.705890053891
"Smallmouth Bass","Complex Warm Dark",2,202.36167090533,188.548018412891,222.088656376815
"Smallmouth Bass","Complex Warm Dark",3,267.475684040771,242.988942815205,299.754515696192
"Smallmouth Bass","Complex Warm Dark",4,318.898994554047,287.527924553991,358.670541512409
"Smallmouth Bass","Complex Warm Dark",5,359.51017388106,323.965970309208,403.363256283046
"Smallmouth Bass","Complex Warm Dark",6,391.582552533245,353.776512145261,437.266404465515
"Smallmouth Bass","Complex Warm Dark",7,416.91147647624,378.164988149957,462.984767348176
"Smallmouth Bass","Complex Warm Dark",8,436.914806914167,398.117586298047,482.494288582144
"Smallmouth Bass","Complex Warm Dark",9,452.712289251334,414.441122577334,497.293886072669
"Smallmouth Bass","Complex Warm Dark",10,465.188234142986,427.795665914674,508.520613948502
"Smallmouth Bass","Complex Warm Dark",11,475.04101939177,438.721229144205,517.037022511553
"Smallmouth Bass","Complex Warm Dark",12,482.822183704511,447.659605310818,523.497428037988
"Smallmouth Bass","Complex Warm Dark",13,488.967300697632,454.972232295569,528.398183944305
"Smallmouth Bass","Complex Warm Dark",14,493.820361414691,460.954808148424,532.115815655663
"Smallmouth Bass","Complex Warm Dark",15,497.653030239357,465.849248123251,534.935949081096
"Walleye","Complex Cool Clear",1,198.499130595056,195.612800168944,201.012233668006
"Walleye","Complex Cool Clear",2,259.400623615878,253.696400110402,264.802817586172
"Walleye","Complex Cool Clear",3,313.213785684212,305.259661743854,320.92240862634
"Walleye","Complex Cool Clear",4,360.763628358886,351.034544033512,370.293464745782
"Walleye","Complex Cool Clear",5,402.77914001968,391.670837825927,413.727515799439
"Walleye","Complex Cool Clear",6,439.904462014877,427.745389863748,451.938502948828
"Walleye","Complex Cool Clear",7,472.708764015875,459.770291331814,485.554513970388
"Walleye","Complex Cool Clear",8,501.69496997826,488.200147174905,515.128107360783
"Walleye","Complex Cool Clear",9,527.307468487397,513.438529377733,541.145394940189
"Walleye","Complex Cool Clear",10,549.938925696104,535.843705813785,564.034032247599
"Walleye","Complex Cool Clear",11,569.936305303832,555.733725986093,584.170248069143
"Walleye","Complex Cool Clear",12,587.606187869844,573.390935853819,601.885028646341
"Walleye","Complex Cool Clear",13,603.219471010999,589.065985834261,617.469558216316
"Walleye","Complex Cool Clear",14,617.015522543046,602.981388875284,631.18000531212
"Walleye","Complex Cool Clear",15,629.205850237365,615.334679106303,643.241733497292
"Walleye","Complex Cool Dark",1,193.906001135472,192.070731358571,196.283577112019
"Walleye","Complex Cool Dark",2,254.923085331414,250.729696678937,259.66465599463
"Walleye","Complex Cool Dark",3,309.291331959237,303.175059987223,315.94716159759
"Walleye","Complex Cool Dark",4,357.735243698637,350.06501308333,365.926122082218
"Walleye","Complex Cool Dark",5,400.900376476963,391.988027105194,410.307523804901
"Walleye","Complex Cool Dark",6,439.36194204569,429.470237869517,449.718283848138
"Walleye","Complex Cool Dark",7,473.632473161495,462.982048901242,484.715105645044
"Walleye","Complex Cool Dark",8,504.168653516939,492.944035020135,515.792342788929
"Walleye","Complex Cool Dark",9,531.377403435323,519.732220574741,543.388982109548
"Walleye","Complex Cool Dark",10,555.621302426745,543.682798565815,567.894844656671
"Walleye","Complex Cool Dark",11,577.223420865457,565.096349884442,589.656092184003
"Walleye","Complex Cool Dark",12,596.471625174726,584.241615616502,608.980116916255
"Walleye","Complex Cool Dark",13,613.622413889383,601.358869756048,626.139883670606
"Walleye","Complex Cool Dark",14,628.904335714847,616.662934655349,641.377785667919
"Walleye","Complex Cool Dark",15,642.521035131126,630.34587705561,654.909068499654
"Walleye","Complex Riverine",1,203.595770590838,193.566228432104,213.477936999961
"Walleye","Complex Riverine",2,259.22191875565,244.591855373388,274.070424499569
"Walleye","Complex Riverine",3,310.359875220371,291.750076809716,329.485018115688
"Walleye","Complex Riverine",4,357.371769404373,335.334016534686,380.164191596714
"Walleye","Complex Riverine",5,400.590512341285,375.614581494384,426.512607368058
"Walleye","Complex Riverine",6,440.322154162313,412.842145677685,468.900347675575
"Walleye","Complex Riverine",7,476.848051366192,447.248106378793,507.665869613618
"Walleye","Complex Riverine",8,510.426859223114,479.046322505359,543.118707632973
"Walleye","Complex Riverine",9,541.296363421694,508.43444387234,575.541945107639
"Walleye","Complex Riverine",10,569.675163929637,535.595139744173,605.19447469539
"Walleye","Complex Riverine",11,595.764222992229,560.697234261552,632.313065540596
"Walleye","Complex Riverine",12,619.748288230675,583.896755810368,657.114253825507
"Walleye","Complex Riverine",13,641.797200917867,605.337906855409,679.796071765627
"Walleye","Complex Riverine",14,662.067098696,625.153960267065,700.539628854857
"Walleye","Complex Riverine",15,680.701521253021,643.468087712405,719.510557986292
"Walleye","Complex Two Story",1,196.361952842604,195.136595552668,197.200038953734
"Walleye","Complex Two Story",2,259.913802041789,256.396817485051,263.163371592739
"Walleye","Complex Two Story",3,316.368767655881,310.996907162434,321.567327143072
"Walleye","Complex Two Story",4,366.519364100354,359.660945566814,373.278207831782
"Walleye","Complex Two Story",5,411.069605100033,403.034292530454,419.063037924284
"Walleye","Complex Two Story",6,450.644886628877,441.692145197669,459.600940947408
"Walleye","Complex Two Story",7,485.800766214322,476.147166021701,495.493213086283
"Walleye","Complex Two Story",8,517.030761849994,506.856281455607,527.272242173114
"Walleye","Complex Two Story",9,544.77327999788,534.22674149826,555.409404562672
"Walleye","Complex Two Story",10,569.417769935198,558.621520454328,580.322057028331
"Walleye","Complex Two Story",11,591.310190840646,580.364130530593,602.379727389045
"Walleye","Complex Two Story",12,610.757868366954,599.7429121043,621.909595692413
"Walleye","Complex Two Story",13,628.033808876262,617.014857559063,639.201347255907
"Walleye","Complex Two Story",14,643.380531901539,632.409019398272,654.5114695511
"Walleye","Complex Two Story",15,657.013474634104,646.129547832804,668.067056666326
"Walleye","Complex Warm Clear",1,213.865370236477,214.376483269961,214.712264231121
"Walleye","Complex Warm Clear",2,285.290110067989,281.123041016837,291.301670477283
"Walleye","Complex Warm Clear",3,344.83781307632,337.287534720955,354.499521990049
"Walleye","Complex Warm Clear",4,394.483481257026,384.547655085554,406.647314114105
"Walleye","Complex Warm Clear",5,435.873698588564,424.315110101579,449.67713488047
"Walleye","Complex Warm Clear",6,470.381242822157,457.777794205029,485.183249324985
"Walleye","Complex Warm Clear",7,499.150616017161,485.935271895166,514.481167384929
"Walleye","Complex Warm Clear",8,523.136003920474,509.628635745463,538.656383853307
"Walleye","Complex Warm Clear",9,543.132923178078,529.565630696513,558.604596217652
"Walleye","Complex Warm Clear",10,559.804606012938,546.34179511916,575.064890463767
"Walleye","Complex Warm Clear",11,573.703997462473,560.458250152964,588.647124386288
"Walleye","Complex Warm Clear",12,585.292094751814,572.336668705683,599.854522964211
"Walleye","Complex Warm Clear",13,594.953237059719,582.331871253042,609.102322965369
"Walleye","Complex Warm Clear",14,603.007852788519,590.742424688194,616.733157566887
"Walleye","Complex Warm Clear",15,609.723087123237,597.819560819291,623.029750995425
"Walleye","Complex Warm Dark",1,221.064568864613,219.787592139067,222.657727166328
"Walleye","Complex Warm Dark",2,292.083532319947,287.955686512838,296.684537904708
"Walleye","Complex Warm Dark",3,352.342503545719,346.104378442676,359.153437027878
"Walleye","Complex Warm Dark",4,403.471715188919,395.706327920849,411.86897777233
"Walleye","Complex Warm Dark",5,446.854405435332,438.017742165625,456.353965902194
"Walleye","Complex Warm Dark",6,483.664239824133,474.110190027595,493.893449344228
"Walleye","Complex Warm Dark",7,514.89706333127,504.897740288454,525.5718396583
"Walleye","Complex Warm Dark",8,541.397841735335,531.160111150355,552.304237679713
"Walleye","Complex Warm Dark",9,563.883521131592,553.56241719433,574.862868244279
"Walleye","Complex Warm Dark",10,582.962424030297,572.672013914556,593.899387622036
"Walleye","Complex Warm Dark",11,599.150706776995,588.97286642915,609.963708059508
"Walleye","Complex Warm Dark",12,612.886323530138,602.877806266072,623.519883219306
"Walleye","Complex Warm Dark",13,624.540874574332,614.738986636565,634.959513403379
"Walleye","Complex Warm Dark",14,634.42965951081,624.856800983938,644.613057799623
"Walleye","Complex Warm Dark",15,642.820207301891,633.487490676725,652.759380531278
"Yellow Perch","Complex Cool Clear",1,100.106645266802,66.1114152034756,153.126963729884
"Yellow Perch","Complex Cool Clear",2,131.346667502284,83.7492823842638,209.185476612352
"Yellow Perch","Complex Cool Clear",3,159.411376844133,100.254239072641,257.240216532735
"Yellow Perch","Complex Cool Clear",4,184.623519924746,115.699054054689,298.433924857769
"Yellow Perch","Complex Cool Clear",5,207.273038612952,130.15182205242,333.746187672624
"Yellow Perch","Complex Cool Clear",6,227.620404371076,143.676263946932,364.016730330896
"Yellow Perch","Complex Cool Clear",7,245.899613699726,156.332007717729,389.965386117429
"Yellow Perch","Complex Cool Clear",8,262.320879118184,168.174851336811,412.209213878606
"Yellow Perch","Complex Cool Clear",9,277.073046626918,179.257008776633,431.277171677242
"Yellow Perch","Complex Cool Clear",10,290.325767453238,189.627340216553,447.622695411476
"Yellow Perch","Complex Cool Clear",11,302.231449055376,199.331567462714,461.634481517146
"Yellow Perch","Complex Cool Clear",12,312.927007821692,208.412475531153,473.645730166208
"Yellow Perch","Complex Cool Clear",13,322.535443621215,216.910101282864,483.942068764413
"Yellow Perch","Complex Cool Clear",14,331.167254312988,224.861909942518,492.768344168941
"Yellow Perch","Complex Cool Clear",15,338.921706481185,232.302960279081,500.334445144889
"Yellow Perch","Complex Cool Dark",1,97.1680553352191,73.1815294328414,129.860981756775
"Yellow Perch","Complex Cool Dark",2,126.046295192347,91.5630422809764,175.618969330281
"Yellow Perch","Complex Cool Dark",3,152.252957195965,108.7285307198,215.683825097453
"Yellow Perch","Complex Cool Dark",4,176.035193813216,124.758440541573,250.763878936482
"Yellow Perch","Complex Cool Dark",5,197.617292992454,139.727895667186,281.479331514189
"Yellow Perch","Complex Cool Dark",6,217.202793400966,153.707050213231,308.373219174181
"Yellow Perch","Complex Cool Dark",7,234.976403978237,166.761417268171,331.92101459209
"Yellow Perch","Complex Cool Dark",8,251.105745907901,178.952175918402,352.539032933429
"Yellow Perch","Complex Cool Dark",9,265.742933436738,190.336457963079,370.591792131453
"Yellow Perch","Complex Cool Dark",10,279.02600844926,200.967615661398,386.398457411617
"Yellow Perch","Complex Cool Dark",11,291.080242327228,210.895471767123,400.238483999158
"Yellow Perch","Complex Cool Dark",12,302.019317371807,220.166553022135,412.356557770495
"Yellow Perch","Complex Cool Dark",13,311.946398930233,228.824308203284,422.96692119709
"Yellow Perch","Complex Cool Dark",14,320.955108338117,236.909311744397,432.257161062664
"Yellow Perch","Complex Cool Dark",15,329.130405853106,244.459453887724,440.391524919001
"Yellow Perch","Complex Riverine",1,95.9592632480132,90.3797684280254,101.685216265332
"Yellow Perch","Complex Riverine",2,135.262217920003,123.823682684216,147.723593825429
"Yellow Perch","Complex Riverine",3,167.482449414887,151.952105028725,184.52748965271
"Yellow Perch","Complex Riverine",4,193.896324052251,175.609866423822,213.949176946039
"Yellow Perch","Complex Riverine",5,215.550196199916,195.507522516028,237.469395763329
"Yellow Perch","Complex Riverine",6,233.301858363261,212.242695018264,256.271875977938
"Yellow Perch","Complex Riverine",7,247.854521619634,226.318021146215,271.302912252178
"Yellow Perch","Complex Riverine",8,259.78467249253,238.156250216259,283.318989328115
"Yellow Perch","Complex Riverine",9,269.564909782617,248.112940827963,292.924854529991
"Yellow Perch","Complex Riverine",10,277.582666009635,256.487139988211,300.603953598138
"Yellow Perch","Complex Riverine",11,284.155555092912,263.530364922113,306.742761634597
"Yellow Perch","Complex Riverine",12,289.543954250706,269.454157337396,311.650233692721
"Yellow Perch","Complex Riverine",13,293.9613185354,274.436437032943,315.573353923591
"Yellow Perch","Complex Riverine",14,297.582636602652,278.626845680726,318.709565839539
"Yellow Perch","Complex Riverine",15,300.551362679794,282.151241280415,321.216709287331
"Yellow Perch","Complex Two Story",1,44.5975785232158,57.1691846696842,3.99105169953992
"Yellow Perch","Complex Two Story",2,104.070490467101,89.7753633527687,116.929411337327
"Yellow Perch","Complex Two Story",3,147.258892184589,116.602187864968,188.147704719884
"Yellow Perch","Complex Two Story",4,178.621709002285,138.674032603453,233.057559339616
"Yellow Perch","Complex Two Story",5,201.396950493616,156.833704462426,261.377460676362
"Yellow Perch","Complex Two Story",6,217.936014188168,171.774625166283,279.23583092748
"Yellow Perch","Complex Two Story",7,229.946452277115,184.067309374047,290.497218607958
"Yellow Perch","Complex Two Story",8,238.668265419169,194.181149613678,297.598586241553
"Yellow Perch","Complex Two Story",9,245.001924851203,202.502339897584,302.076668667832
"Yellow Perch","Complex Two Story",10,249.601340264905,209.348622427305,304.900522219883
"Yellow Perch","Complex Two Story",11,252.941371786146,214.981420485945,306.681228362458
"Yellow Perch","Complex Two Story",12,255.36685623568,219.615820809286,307.804131624882
"Yellow Perch","Complex Two Story",13,257.128209317985,223.428786609478,308.512228096621
"Yellow Perch","Complex Two Story",14,258.407279435767,226.565914863205,308.958749742846
"Yellow Perch","Complex Two Story",15,259.336122370577,229.14699588938,309.240323777607
"Yellow Perch","Complex Warm Dark",1,98.0926078158724,56.5377137605553,168.459405301555
"Yellow Perch","Complex Warm Dark",2,127.089686894236,72.0055051400036,222.845543663315
"Yellow Perch","Complex Warm Dark",3,154.373193377127,86.883409856388,272.624194639937
"Yellow Perch","Complex Warm Dark",4,180.044390258381,101.193924093341,318.185695560815
"Yellow Perch","Complex Warm Dark",5,204.19855642941,114.958686109897,359.887315139418
"Yellow Perch","Complex Warm Dark",6,226.925340307715,128.198508958693,398.056054981824
"Yellow Perch","Complex Warm Dark",7,248.309092567841,140.93341195641,432.991213756924
"Yellow Perch","Complex Warm Dark",8,268.429179209706,153.182650954046,464.966734135132
"Yellow Perch","Complex Warm Dark",9,287.360276126266,164.964747452786,494.233350899043
"Yellow Perch","Complex Warm Dark",10,305.172646263802,176.2975166095,521.020557070343
"Yellow Perch","Complex Warm Dark",11,321.932400403513,187.198094174207,545.53840347029
"Yellow Perch","Complex Warm Dark",12,337.701742532308,197.682962400238,567.979145824955
"Yellow Perch","Complex Warm Dark",13,352.539200713499,207.767974966286,588.518752330913
"Yellow Perch","Complex Warm Dark",14,366.499844314262,217.468380948006,607.318283502924
"Yellow Perch","Complex Warm Dark",15,379.635488396115,226.798847875432,624.525155123609
