"","WBIC","year","fishNStart","fishBStart","fishNEnd","fishBEnd","annualHarvestN","annualHarvestB","annualEffort","maxSize","meanSize","PSDQuality"
"1","2953100",1,1875.59293136354,477.062529841409,1123.91923847189,400.371389700854,14,0.658719468214137,14,62.2706847762738,15.4553700478524,0.139339219101886
"2","2761600",1,273.896847496952,79.3152344012971,165.075637816754,64.8746222033789,0,0,105,60.2269541199805,17.4877575144849,0.170939018061937
"3","2210900",1,802.411425322818,199.028312130362,483.719452819562,166.562804461996,0,0,19,61.116558095843,15.631816542951,0.139511844677703
"4","2406900",1,168.4406725135,41.7850429177281,101.535463534386,34.9712213416799,0,0,13,61.116558095843,15.6084648583517,0.13936596294832
"5","1541500",1,793.972622741005,219.621361477857,478.700246779693,184.258609237745,0,0,15,63.8169807234162,16.0234836500284,0.139521735835242
"6","1001000",1,1057.87246659,262.440191149603,637.763533127183,219.6322376554,0,0,36,61.116558095843,15.6383359242188,0.139566418327201
"7","816800",1,5130.46138446007,1625.92185527815,2903.02524340304,1188.04281877464,320,193.552689621963,93,63.2424939719981,16.0993388233325,0.150821209486556
"8","2309700",1,1531.03296422718,389.415906757025,921.566953234525,327.004563836441,3,0.141154171760172,3,62.2706847762738,15.5284685891565,0.139480321895734
"9","1611700",1,2981.01225424433,824.386207103722,1728.50489067955,685.624464346589,135,11.5628003798502,83,63.8169807234162,15.3485869226716,0.138522722407136
"10","1246500",1,768.432779094047,243.562678710933,463.280254913679,200.543008232638,0,0,119,63.2424939719981,17.7239481938758,0.170897752149004
"11","2953100",2,1876.91923847189,480.336748798381,1124.60272085462,403.681574677483,13,0.611668077627413,13,62.2706847762738,15.4078834616251,0.139607665027096
"12","2761600",2,273.075637816754,79.8288485547722,164.741209590365,65.3559346328848,0,0,87,60.2269541199805,17.5285873083919,0.1717923493447
"13","2210900",2,801.719452819562,200.680410047591,483.585931651248,168.104231904521,0,0,26,61.116558095843,15.6669270219862,0.140245280283014
"14","2406900",2,168.535463534386,42.1295852457911,101.632513816066,35.2929273477487,0,0,26,61.116558095843,15.6401857546554,0.139861269421722
"15","1541500",2,793.700246779694,221.502952113846,478.754100813317,186.010281954508,0,0,13,63.8169807234162,16.0568617584972,0.140162263038795
"16","1001000",2,1056.76353312718,264.626144374883,637.47000910081,221.669105594897,0,0,27,61.116558095843,15.6730466861963,0.14024748161685
"17","816800",2,5188.02524340304,1460.08923794546,2957.3336754511,1151.98010221321,225,70.5931664156379,93,63.2424939719981,15.414978226904,0.138976084453435
"18","2309700",2,1530.56695323453,392.607643397591,920.052690141876,329.958480478838,6,0.282308343520344,6,62.2706847762738,15.5158541769891,0.140027514161363
"19","1611700",2,3000.50489067955,818.213337903279,1746.71003140983,686.120412177444,102,6.37201965797944,90,63.8169807234162,14.9777399797419,0.136740990132806
"20","1246500",2,768.280254913679,245.247937611436,463.396178563182,202.126278588009,0,0,119,63.2424939719981,17.7540881750951,0.171544894267648
"21","2953100",3,1882.60272085462,483.016988007076,1127.44310793451,406.407920462368,13,0.611668077627413,13,62.2706847762738,15.4098751046149,0.14006070048286
"22","2761600",3,272.741209590365,80.2845895666017,164.622064553671,65.7841063179468,0,0,108,60.2269541199805,17.5533337515775,0.172483224847408
"23","2210900",3,801.585931651248,202.147080956754,483.697714864699,169.472324380173,0,0,17,61.116558095843,15.6950109680057,0.140821322455362
"24","2406900",3,168.632513816066,42.4371659167861,101.727568073319,35.5792182213072,0,0,15,61.116558095843,15.6692907982578,0.140345836639182
"25","1541500",3,793.754100813317,223.169138600802,478.958437806341,187.563413837036,0,0,21,63.8169807234162,16.0856348364038,0.140747781125858
"26","1001000",3,1056.47000910081,266.560800807687,637.543965741631,223.473879414516,0,0,33,61.116558095843,15.7005730038144,0.14085303096815
"27","816800",3,5338.3336754511,1411.32347258773,3042.73072755004,1125.77500048051,196,54.5009674547336,93,63.2424939719981,15.377082382107,0.131764009508716
"28","2309700",3,1532.05269014188,395.191120383846,920.824372627102,332.469194491758,6,0.282308343520344,6,62.2706847762738,15.5134715913556,0.140473812426827
"29","1611700",3,3054.71003140983,814.645369927265,1782.43793491941,685.58653043409,81,4.92762451398886,73,63.8169807234162,14.985938970255,0.132169599019997
"30","1246500",3,768.396178563182,246.739971771287,463.633231054871,203.529360487706,0,0,121,63.2424939719981,17.8015907453566,0.172252248185735
"31","2953100",4,1884.44310793451,485.269287359286,1129.06498426101,408.715528648126,12,0.564616687040689,12,62.2706847762738,15.4437600254283,0.139516807061809
