"","WBIC","day","year","nAnglers","fishN","harvestedN"
"124","1588200",9,1,3,5638.3380274147,125
"125","2620600",9,1,11,15337.2410451554,1127
"126","2391200",9,1,16,23432.8562712721,1505
"127","1545600",9,1,4,8581.5629605566,156
"128","1592400",9,1,0,8761.36818163697,120
"129","1018500",9,1,1,1906.73373832423,9
"130","2331600",9,1,20,28509.4082486775,2079
"131","2742500",10,1,0,1523.03296422718,8
"132","2897100",10,1,1,2715.56724299424,18
"133","2742100",10,1,2,7161.25253699837,69
"134","2678100",10,1,0,3109.10729533467,40
"135","394400",10,1,38,14713.6941353,2576
"136","2949200",10,1,6,2447.89891899544,54
"137","1588200",10,1,2,5629.3380274147,134
"138","2620600",10,1,17,15218.2410451554,1246
"139","2391200",10,1,12,23312.8562712721,1625
"140","1545600",10,1,4,8557.5629605566,180
"141","1592400",10,1,3,8743.36818163697,138
"142","1018500",10,1,1,1905.73373832423,10
"143","2331600",10,1,14,28358.4082486775,2230
"144","2742500",1,2,1,1530.1304733512,1
"145","2897100",1,2,0,2735.69110142139,0
"146","2742100",1,2,0,7240.08396932643,0
"147","2678100",1,2,2,3149.91969000965,4
"148","394400",1,2,28,17625.4470509472,177
"149","2949200",1,2,1,2506.92925163536,2
"150","1588200",1,2,8,5746.42932328345,40
"151","2620600",1,2,19,16557.6650950122,152
"152","2391200",1,2,9,25164.7334039061,99
"153","1545600",1,2,3,8750.08049940236,18
"154","1592400",1,2,5,8874.54139260011,30
"155","1018500",1,2,0,1916.0474135723,0
"156","2331600",1,2,24,30784.6407006391,264
"157","2742500",2,2,0,1530.1304733512,1
"158","2897100",2,2,1,2733.69110142139,2
"159","2742100",2,2,3,7224.08396932643,16
"160","2678100",2,2,1,3147.91969000965,6
"161","394400",2,2,34,17421.4470509472,381
"162","2949200",2,2,4,2501.92925163536,7
"163","1588200",2,2,4,5728.42932328345,58
"164","2620600",2,2,15,16443.6650950122,266
"165","2391200",2,2,12,25043.7334039061,220
"166","1545600",2,2,4,8726.08049940236,42
"167","1592400",2,2,1,8868.54139260011,36
"168","1018500",2,2,1,1915.0474135723,1
"169","2331600",2,2,20,30566.6407006391,482
"170","2742500",3,2,0,1530.1304733512,1
"171","2897100",3,2,1,2731.69110142139,4
"172","2742100",3,2,2,7214.08396932643,26
"173","2678100",3,2,1,3145.91969000965,8
"174","394400",3,2,31,17235.4470509472,567
"175","2949200",3,2,2,2499.92925163536,9
"176","1588200",3,2,5,5708.42932328345,78
"177","2620600",3,2,11,16366.6650950122,343
"178","2391200",3,2,18,24863.7334039061,400
"179","1545600",3,2,2,8714.08049940236,54
"180","1592400",3,2,4,8844.54139260011,60
"181","1018500",3,2,3,1912.0474135723,4
"182","2331600",3,2,20,30366.6407006391,682
"183","2742500",4,2,0,1530.1304733512,1
"184","2897100",4,2,0,2731.69110142139,4
"185","2742100",4,2,3,7199.08396932643,41
"186","2678100",4,2,3,3139.91969000965,14
