"","wbic","Linf","k","t0"
"1",1835300,65.0990576146191,0.0329388448472724,-2.39989491815945
"2",2963800,30.1595939493023,0.108447872807919,-0.934718881473832
"3",2340700,40.3400620492889,0.0783212614045099,-0.958226941537264
"4",1623800,32.6255244910902,0.102181469566771,-1.00708231326462
"5",2310400,27.9020006224532,0.121138935652499,-0.96396652133369
"6",968800,30.8205746928763,0.10032282160051,-1.53356875750308
"7",2268600,36.8275960480516,0.0782765449982245,-1.70472532167787
"8",1602300,38.1689317251258,0.0873951136996307,-1.40019431017623
"9",2340500,32.7728958254198,0.119996823731312,-0.0783695513069639
"10",2310200,28.4973617275773,0.123198943320262,-0.691922445223685
"11",2340900,73.8569008631557,0.0316798264946565,-2.78465189875597
"12",2311700,31.1136810296359,0.0978810934059214,-1.18418768952477
"13",1623700,57.4190436509304,0.0499791473189794,-1.32306975878139
"14",2956500,35.4222561685959,0.0951456458046289,-1.08622712396631
"15",1545600,45.6619561355018,0.0551935545804819,-2.48898155625986
"16",2331600,30.1310528592617,0.110237326811339,-1.93063634252281
"17",2762200,32.2875750167085,0.109824767364232,-1.28240632625412
"18",2338300,29.0681077631928,0.107463600469269,-1.53576918646062
"19",1631900,169.624522244777,0.010021866484938,-4.28070668039581
"20",2311100,56.3440282503125,0.0429717414742462,-1.71941526823752
"21",1592400,27.8261836259554,0.120606117124589,-1.59281306918045
"22",1545300,39.7262377798,0.068142245200496,-2.5377025669981
"23",2334700,71.0825459852952,0.0315593406468839,-2.48693189280419
"24",1596300,35.9977366741625,0.0935845318646789,-1.64507008597353
"25",2956700,30.8753616921057,0.153583624498612,-0.151584789720586
"26",1600300,60.994134813732,0.0471713238511947,-1.02077110489612
"27",2328900,37.3004177204657,0.109079683861395,-0.345701834949887
"28",2328800,470.046087874717,0.00361847638344344,-3.51235102224107
"29",2343200,25.592295899959,0.120710789529339,-1.60833738846645
"30",2329400,139.824663068031,0.013679468366162,-2.89889727501335
"31",2329000,35.8416053481279,0.0797952844521632,-2.06785435043325
"32",1599600,37.7924562276229,0.0708495726131556,-1.6585615766883
"33",2334300,43.8545477730485,0.0617052237822896,-1.78473452806505
"34",2327500,46.9243397004756,0.0471846983268877,-3.03711080803478
"35",2334400,59.4115255821309,0.0349273287380011,-2.90230105596572
"36",1603700,262.312174167717,0.00728546727237135,-2.36833976005278
"37",1600200,37.9991893153584,0.068047450584024,-1.78897130458136
"38",2953500,54.8904383828029,0.0421583782542252,-2.03838434835191
"39",1018500,65.60122082208,0.0356835242226708,-2.60089009366612
"40",1593100,55.6412534724132,0.0358482735358498,-3.0670595856778
"41",1629500,22.9077177867266,0.166806850814352,-1.60028476771022
"42",2339100,54.0926179251643,0.0462481277216467,-1.6846046968583
"43",2962900,28.49034716275,0.140360117493657,-0.307828266970594
"44",995200,65.1187798232139,0.02905082515996,-2.47839318723492
"45",1602600,42.3013086671857,0.0658758998722716,-2.18649394646933
"46",1591100,34.0066282191382,0.0984624382923786,-1.16726178633241
"47",2328700,58.0487583046875,0.0406225246195904,-1.80335344344713
"48",2954800,292.232563562062,0.00527903337519898,-3.98400831740449
"49",2958500,33.3781545897714,0.0892964707395125,-1.76669939920619
"50",1605200,65.9910539240308,0.0286970273393574,-3.18172687113981
"51",2332400,85.4376543834646,0.020801639403467,-4.81050452687259
"52",716800,56.2569521494363,0.0467277654485041,-2.47302555638936
"53",1593800,35.1946306109851,0.0812584176687216,-2.34515752414744
"54",1593400,104.194579093402,0.0162649401440079,-4.32808310719574
"55",1630100,37.9083765800655,0.0777106738550255,-2.23046778297065
"56",1881900,77.0416742266067,0.0254072428549464,-4.77535569785366
"57",2329600,40.8062101740681,0.0658965127508877,-2.50996458221661
"58",2964100,76.7234359422388,0.0195708829607206,-4.48244222957089
"59",2953100,62.2348183423129,0.0318627847048895,-3.29159881701375
"60",2329800,38.4346369928286,0.0831655984849632,-1.25040379449502
"61",1621800,27.7517381347817,0.126043333539704,-2.20403015772766
"62",2316600,32.3068046610292,0.0861798715532698,-2.1921120886379
"63",1619700,20.1503769862931,0.276680478228036,-0.730024297266624
"64",2321600,15.1579906010539,0.269830667969276,-2.09700742581184
"65",1013800,18.213625196502,0.299218746472769,-0.556111676450704
"66",1596600,25.7052196998414,0.189798233333711,-0.912047604425764
"67",2332300,33.9138399664564,0.0752977549155858,-3.60604296570639
"68",2962400,60.4668261683114,0.0247928324193273,-5.99751319168452
"69",2336800,40.7971164385927,0.0655265418930681,-2.16499669950766
"70",1539700,31.3867524273307,0.22076247574046,0.909466286844763
