"","Species","LakeClass","Age","medianLength.mm","medianWeightAge.t.kg","medianWeightAge.t1.kg"
"76","Walleye","Complex Warm Dark",1,221.064568864613,0.109876552506676,0.253436298007042
"77","Walleye","Complex Warm Dark",2,292.083532319947,0.253436298007042,0.444879821019492
"78","Walleye","Complex Warm Dark",3,352.342503545719,0.444879821019492,0.668016028803935
"79","Walleye","Complex Warm Dark",4,403.471715188919,0.668016028803935,0.907498114671607
"80","Walleye","Complex Warm Dark",5,446.854405435332,0.907498114671607,1.15074616321288
"81","Walleye","Complex Warm Dark",6,483.664239824133,1.15074616321288,1.38838158395114
"82","Walleye","Complex Warm Dark",7,514.89706333127,1.38838158395114,1.61397632607299
"83","Walleye","Complex Warm Dark",8,541.397841735335,1.61397632607299,1.82354216073485
"84","Walleye","Complex Warm Dark",9,563.883521131592,1.82354216073485,2.01497325871548
"85","Walleye","Complex Warm Dark",10,582.962424030297,2.01497325871548,2.18753911667481
"86","Walleye","Complex Warm Dark",11,599.150706776995,2.18753911667481,2.34146349098394
"87","Walleye","Complex Warm Dark",12,612.886323530138,2.34146349098394,2.47759434451678
"88","Walleye","Complex Warm Dark",13,624.540874574332,2.47759434451678,2.59715598288763
"89","Walleye","Complex Warm Dark",14,634.42965951081,2.59715598288763,2.70156960409128
"90","Walleye","Complex Warm Dark",15,642.820207301891,2.70156960409128,NA
