"","vbgf.fits.agg$wbic","vbgf.fits.agg$year","Linf","k","t0"
"1",2963800,1991,39.2348939981973,0.07867965854383,-0.904762983219254
"2",2340700,1991,35.3254165002522,0.104009171993101,-0.460948890212035
"3",1623800,1991,37.2620410822451,0.0913481034865662,-0.824284205738754
"4",2310400,1991,26.2271244131944,0.136437404644759,-0.848119414532365
"5",968800,1991,59.5561224756933,0.0375122946635446,-2.3844979763106
"6",2268600,1991,45.7895121508958,0.0543283828546851,-2.17156648668602
"7",1602300,1991,42.4062390183479,0.0761019556157829,-0.836776559087664
"8",2340500,1991,28.2100120426667,0.181268902171957,0.847077763110523
"9",2310200,1991,27.5647811229932,0.144384525369149,-0.335414345438586
"10",2340900,1991,38.2145995342373,0.0893193605744077,-1.44309218097387
"11",2311700,1991,33.9613173068897,0.086653241382677,-1.24503400178227
"12",2956500,2012,36.0876123479766,0.0903964228663062,-1.27413533524553
"13",1545600,1988,43.8385537243705,0.0626770356263371,-1.43788599239163
"14",2331600,1988,34.96446058166,0.108315406467474,-1.22213305763718
"15",2762200,1990,39.1799305672252,0.0699444838470824,-2.66571681778681
"16",2338300,1990,25.8540180744567,0.158074003253851,-0.513207178993685
"17",1631900,1990,44.0686818609265,0.0601165344120492,-1.89836257142575
"18",2311100,1990,51.0234634551457,0.0609517504046635,-0.764570800308289
"19",1592400,1990,74.3212099506268,0.0277065708991615,-3.05124633098706
"20",1545300,1990,40.8151419631517,0.0846673750759557,-0.301694950636442
"21",1596300,1992,63.1703749059054,0.0327646277018882,-3.87504937937104
"22",2956700,1992,30.9557577794879,0.189540340662764,0.698422972784678
"23",1600300,1993,31.9185878732426,0.25570776371534,2.30219648248093
"24",2328900,1993,37.3004177204657,0.109079683861395,-0.345701834949887
"25",2328800,1993,86.9122362837279,0.0282823341247735,-1.83662425603569
"26",2343200,1993,25.1186866362695,0.137761318674936,-0.9750478787697
"27",2329400,1993,52.6506339184615,0.0499463463726061,-1.58165972794926
"28",2329000,1993,30.0920641538813,0.10728226361987,-1.45136448538001
"29",2344000,1993,31.3323818128135,0.139288298308243,0.772882482758242
"30",1599600,1993,29.1600408902822,0.132939431956491,-0.0497886636195343
"31",2334300,1993,30.1728125710401,0.145225860287497,-0.320732569377553
"32",1599900,1993,15.8854136590285,0.827877704618145,1.74365377521709
"33",2327500,1993,27.1933769879741,0.140305055220619,-0.935284965854359
"34",1600200,1993,26.7067052458702,0.148698904441399,0.0157591508921792
"35",2953500,1993,56.0123522427584,0.0445722352518891,-1.58067070387386
"36",1545600,1993,36.315459999968,0.102887277217984,-0.388234730596901
"37",1018500,2000,148.414286294846,0.0130326225599696,-2.90259804836143
"38",2329300,1993,73.2750467472806,0.0329729222435648,-1.59775846377411
"39",1593100,1993,33.6960610473922,0.0848598934732588,-1.49509781978467
"40",1629500,1992,23.6506040532593,0.158644796693452,-1.93393539528003
"41",2339100,1992,48.2895019066012,0.0592928945721893,-0.912979455046721
