"","wbic","Name","pe","Model","year","age0.cpe","COUNTY","LAKE","AREA","WDNRTYPE","CODE","CRNTCODE","annual.fishing.effort"
"139",672300,"Sea Lion",33,3,2012,NA,NA,NA,NA,NA,NA,NA,NA
"140",672300,"SEA LION",54,3,2021,0,"FLORENCE","SEA LION",125,NA,"O-ST","O-ST",NA
"141",672900,"KEYES",1175,1,1979,NA,NA,NA,NA,NA,NA,NA,NA
"142",672900,"KEYES",196,1,1997,25.1515152,"FLORENCE","KEYES L",210,NA,"NR","O-ST",NA
"143",672900,"KEYES",355,1,2000,0.3030303,"FLORENCE","KEYES L",210,NA,"NR","O-ST",NA
"144",672900,"KEYES",358,1,2007,NA,NA,NA,NA,NA,NA,NA,NA
"145",672900,"Keyes",95,2,2012,0.2857143,"FLORENCE","KEYES L",210,NA,"C-ST","O-ST",NA
"146",672900,"KEYES",65,3,2016,0,"FLORENCE","KEYES L",210,NA,"C-ST","O-ST",NA
"147",677100,"FAY",113,2,1998,NA,NA,NA,NA,NA,NA,NA,NA
"148",677100,"FAY",225,2,2007,0.8888889,"FLORENCE","FAY L",282,"Walleye","O-ST","ST",9768.03787809413
"149",677100,"Fay",215,2,2013,0,"FLORENCE","FAY L",282,NA,"ST","ST",NA
"150",679300,"HALSEY",353,2,1988,NA,NA,NA,NA,NA,NA,NA,NA
"151",679300,"HALSEY",195,2,1995,NA,NA,NA,NA,NA,NA,NA,NA
"152",679300,"Halsey",688,2,2013,NA,NA,NA,NA,NA,NA,NA,NA
"153",683000,"STEVENS",1659,2,1999,0,"FOREST","STEVENS L",297,NA,"C-ST","C-ST",15397.6009615385
"154",683000,"STEVENS",1101,2,2003,0,"FOREST","STEVENS L",297,NA,"ST","C-ST",NA
"155",683000,"Stevens",1100,2,2008,0.3333333,"FOREST","STEVENS L",297,NA,"C-ST","C-ST",10309.9196775447
"156",683000,"STEVENS",564,2,2014,0,"FOREST","STEVENS L",297,NA,"C-ST","C-ST",NA
"157",691800,"HOWELL",408,1,2007,NA,NA,NA,NA,NA,NA,NA,NA
"158",691800,"Howell L",288,1,2020,17.1,"FOREST","HOWELL L",177,NA,"NR","NR",NA
"159",691800,"HOWELL L",250,1,2021,4.58,"FOREST","HOWELL L",177,NA,"NR","NR",NA
"160",691800,"HOWELL L",511,1,2022,0,"FOREST","HOWELL L",177,NA,"NR","NR",NA
"161",692400,"BUTTERNUT",7887,1,1983,NA,NA,NA,NA,NA,NA,NA,NA
"162",692400,"BUTTERNUT",5174,1,1988,118.875,"FOREST","BUTTERNUT L",1292,NA,"NR","NR",NA
"163",692400,"BUTTERNUT",4766,1,1989,NA,NA,NA,NA,NA,NA,NA,NA
"164",692400,"BUTTERNUT",4754,1,1990,0,"FOREST","BUTTERNUT L",1292,NA,"NR","NR",NA
"165",692400,"BUTTERNUT",2134,1,1991,NA,NA,NA,NA,NA,NA,NA,NA
"166",692400,"BUTTERNUT",6721,1,1992,0.625,"FOREST","BUTTERNUT L",1292,NA,"NR","NR",31171.0267857143
"167",692400,"BUTTERNUT",5997,1,1993,3,"FOREST","BUTTERNUT L",1292,NA,"NR","NR",NA
"168",692400,"BUTTERNUT",4803,1,1994,165,"FOREST","BUTTERNUT L",1292,NA,"NR","NR",NA
"169",692400,"BUTTERNUT",3644,1,1995,NA,NA,NA,NA,NA,NA,NA,NA
"170",692400,"BUTTERNUT",3416,1,1996,34.125,"FOREST","BUTTERNUT L",1292,NA,"NR","NR",NA
"171",692400,"BUTTERNUT",6525,1,1997,35.4583333333333,"FOREST","BUTTERNUT L",1292,NA,"NR","NR",33280.4454885392
"172",692400,"BUTTERNUT",5138,1,1998,38.3125,"FOREST","BUTTERNUT L",1292,NA,"NR","NR",NA
"173",692400,"BUTTERNUT",4395,1,1999,47.625,"FOREST","BUTTERNUT L",1292,NA,"C-NR","NR",NA
"174",692400,"BUTTERNUT",3981,1,2000,13.625,"FOREST","BUTTERNUT L",1292,NA,"NR","NR",NA
"175",692400,"BUTTERNUT",2740,1,2001,5.25,"FOREST","BUTTERNUT L",1292,NA,"NR","NR",NA
"176",692400,"BUTTERNUT",2106,1,2002,192.166666666667,"FOREST","BUTTERNUT L",1292,NA,"NR","NR",NA
"177",692400,"BUTTERNUT",1625,1,2003,192,"FOREST","BUTTERNUT L",1292,NA,"C-NR","NR",NA
"178",692400,"Butternut",1703,1,2004,1.625,"FOREST","BUTTERNUT L",1292,NA,"C-NR","NR",21052.4711538462
"179",692400,"BUTTERNUT",1135,1,2005,NA,NA,NA,NA,NA,NA,NA,NA
"180",692400,"Butternut",1073,1,2006,97.5641026,"FOREST","BUTTERNUT L",1292,NA,"C-NR","NR",NA
"181",692400,"BUTTERNUT",1195,1,2008,35.125,"FOREST","BUTTERNUT L",1292,NA,"C-NR","NR",NA
"182",692400,"BUTTERNUT",8528,1,2009,74.5,"FOREST","BUTTERNUT L",1292,NA,"C-NR","NR",NA
"183",692400,"Butternut L",6953,1,2010,12.875,"FOREST","BUTTERNUT L",1292,NA,"C-NR","NR",NA
"184",692400,"Butternut",5631,1,2011,73,"FOREST","BUTTERNUT L",1292,NA,"C-NR","NR",NA
"185",692400,"Butternut",5301,1,2012,3.375,"FOREST","BUTTERNUT L",1292,NA,"C-NR","NR",NA
"186",692400,"Butternut L",4475,1,2013,74.516129,"FOREST","BUTTERNUT L",1292,NA,"C-NR","NR",NA
"187",692400,"BUTTERNUT",3509,1,2014,26,"FOREST","BUTTERNUT L",1292,NA,"C-NR","NR",NA
"188",692400,"Butternut",2470,1,2015,49.375,"FOREST","BUTTERNUT L",1292,NA,"C-NR","NR",NA
"189",692400,"Butternut",2432,1,2016,48,"FOREST","BUTTERNUT L",1292,NA,"C-NR","NR",NA
"190",692400,"BUTTERNUT",1992,1,2017,0.25,"FOREST","BUTTERNUT L",1292,NA,"C-NR","NR",13370.773989899
"191",692400,"Butternut L",3097,1,2018,37,"FOREST","BUTTERNUT L",1292,NA,"NR","NR",NA
"192",692400,"Butternut L",2590,1,2019,141.011236,"FOREST","BUTTERNUT",1292.5,NA,"NR","NR",NA
"193",692400,"BUTTERNUT L",1398,1,2022,13.25,"FOREST","BUTTERNUT L",1292,NA,"NR","NR",14058.9796703297
"194",692900,"FRANKLIN",3673,1,1989,2.0378788,"FOREST","FRANKLIN L",892,NA,"NR","C-NR",NA
"195",692900,"FRANKLIN",3077,1,1991,17.4242424,"FOREST","FRANKLIN L",892,NA,"NR","C-NR",NA
"196",692900,"FRANKLIN",2101,1,1994,54.0909091,"FOREST","FRANKLIN L",892,NA,"NR","C-NR",15824.2093774281
"197",692900,"FRANKLIN",1834,1,1997,9.5454545,"FOREST","FRANKLIN L",892,NA,"NR","C-NR",15683.7230963481
"198",692900,"FRANKLIN",528,1,2002,27.1212121,"FOREST","FRANKLIN L",892,NA,"NR","C-NR",13734.1255827506
"199",692900,"FRANKLIN",431,1,2004,3.48484845,"FOREST","FRANKLIN L",892,NA,"NR","C-NR",NA
"200",692900,"FRANKLIN",431,1,2004,3.48484845,"FOREST","FRANKLIN L",892,"Baseline","NR","C-NR",NA
