WBIC,Lake Name,County,Area (acres),Area (ha),Max Depth (ft),Max Depth (m),Latitude,Longitude,Final Lake Class,Temp Transitional,Clarity Transitional,If not then (for 2-story and stocked trout lakes)
1856700,Johnson Lake T40N R09W S36,Sawyer,62,25.1,28,8.5,45.9115445,-91.4296906,Simple - Cool - Clear,no,no,n/a
1856800,Johnson Lake T42N R07W S03,Sawyer,4,1.6,23,7.0,46.1441009,-91.2267017,Simple - Harsh - No Fishery,n/a,n/a,n/a
2426800,Kelly Lake (WPA Cranberry),Sawyer,23,9.3,5,1.5,46.1072375,-90.9493628,Simple - Harsh - Has Fishery,n/a,n/a,n/a
2114300,Knuteson Lake (Knudson),Sawyer,70,28.3,17,5.2,45.7021751,-91.4644204,Complex - Cool - Dark,yes,no,n/a
2113900,Knuteson Spring,Sawyer,1,0.4,7,2.1,45.7110763,-91.4765477,Simple - Trout Pond,n/a,n/a,n/a
2390800,Lac Courte Oreilles,Sawyer,5039,2039.2,90,27.4,45.895164,-91.4345634,Complex - Two Story,n/a,n/a,Complex - Cool - Clear
2399700,Lake Chippewa (Chippewa Fl),Sawyer,15300,6191.7,92,28.0,45.9337277,-91.1832147,Complex - Cool - Dark,no,no,n/a
2275300,Lake Of The Pines (Pickerel),Sawyer,273,110.5,39,11.9,45.7713762,-90.715417,Complex - Cool - Dark,no,yes,n/a
1860200,Lewis Lake,Sawyer,52,21.0,15,4.6,46.0848579,-91.1904161,Complex - Warm - Dark,n/a,n/a,n/a
1861300,Little Cranberry Lake (L Bass),Sawyer,8,3.2,15,4.6,45.9403577,-91.0898101,Simple - Harsh - Has Fishery,n/a,n/a,n/a
2390500,Little Lac Courte Oreilles,Sawyer,240,97.1,46,14.0,45.8850724,-91.3932437,Complex - Cool - Clear,n/a,n/a,n/a
2418900,Little Ole Lake,Sawyer,5,2.0,5,1.5,46.0905543,-91.1692874,Simple - Warm - Dark,n/a,n/a,n/a
2395500,Little Round Lake T41N R8W S36,Sawyer,229,92.7,38,11.6,45.9847302,-91.3163789,Complex - Cool - Clear,n/a,n/a,n/a
2477500,Little Round Lake T41N R9W S09,Sawyer,22,8.9,18,5.5,46.0453999,-91.4995395,Simple - Warm - Dark,n/a,n/a,n/a
1862200,Little Sand Lake,Sawyer,78,31.6,14,4.3,45.8474011,-91.5193248,Simple - Cool - Dark,no,yes,n/a
2394100,Little Sissabagama Lake,Sawyer,299,121.0,75,22.9,45.7596769,-91.5219176,Complex - Cool - Clear,no,no,n/a
2724600,Little Spring Lake,Sawyer,13,5.3,8,2.4,45.9728422,-91.5002795,Simple - Warm - Dark,n/a,n/a,n/a
2382700,Loretta Lake (U Brunet Flowage),Sawyer,12,4.9,,,45.8881182,-90.8742636,Simple - Cool - Dark,no,no,n/a
2373700,Lost Lake T38N R08W S26,Sawyer,16,6.5,18,5.5,45.7465019,-91.3219904,Simple - Warm - Dark,n/a,n/a,n/a
1863600,Lost Lake T40N R07W S17,Sawyer,48,19.4,13,4.0,45.9476281,-91.2718869,Simple - Warm - Dark,n/a,n/a,n/a
2418600,Lost Land Lake,Sawyer,1304,527.7,21,6.4,46.1010588,-91.1461528,Complex - Cool - Dark,no,no,n/a
2395900,Lovejoy Lake (Fish),Sawyer,76,30.8,20,6.1,46.0060629,-91.2869436,Complex - Cool - Clear,no,no,n/a
2417500,Lynch Lake,Sawyer,6,2.4,4,1.2,46.1124722,-91.093628,Simple - Harsh - No Fishery,n/a,n/a,n/a
2372100,Maple Spring,Sawyer,1,0.4,11,3.4,45.7083106,-91.2771454,Simple - Trout Pond,n/a,n/a,n/a
2277200,Mason Lake,Sawyer,190,76.9,39,11.9,45.816105,-90.7008322,Complex - Cool - Clear,no,no,n/a
1865200,Mc Laren Lake*(McLarens),Sawyer,66,26.7,12,3.7,46.1409315,-90.9212357,Simple - Cool - Clear,no,no,n/a
2436600,McClaine Lake,Sawyer,49,19.8,15,4.6,46.0612634,-91.296472,Complex - Cool - Clear,no,no,n/a
2481300,McClaine Lake (Birch),Sawyer,7,2.8,21,6.4,46.1560934,-91.1665482,Simple - Warm - Dark,n/a,n/a,n/a
2424800,Meadow Lake,Sawyer,39,15.8,4,1.2,46.0929012,-90.9978177,Complex - Riverine,n/a,n/a,n/a
2378900,Miller Lake,Sawyer,29,11.7,8,2.4,45.7214969,-91.1995099,Simple - Harsh - Has Fishery,n/a,n/a,n/a
2482500,Milny Lake,Sawyer,14,5.7,26,7.9,46.0814077,-91.4382617,Simple - Harsh - Has Fishery,n/a,n/a,n/a
2396700,Minnemac Lake,Sawyer,29,11.7,9,2.7,45.9117208,-91.4775383,Simple - Harsh - Has Fishery,n/a,n/a,n/a
1866900,Mirror Lake,Sawyer,38,15.4,27,8.2,46.05057,-91.2959356,Simple - Warm - Dark,n/a,n/a,n/a
2420600,Moose Lake,Sawyer,1670,675.8,21,6.4,46.0100604,-91.0361536,Complex - Cool - Dark,no,no,n/a
2727200,Mosquito Brook Spring,Sawyer,1,0.4,7,2.1,46.044687,-91.4045087,Simple - Trout Pond,n/a,n/a,n/a
2432200,Moss Creek Springs,Sawyer,2,0.8,4,1.2,46.0036939,-91.1941899,Simple - Trout Pond,n/a,n/a,n/a
2483500,Mossback Lake,Sawyer,6,2.4,15,4.6,46.149573,-91.3574449,Simple - Warm - Dark,n/a,n/a,n/a
