"","LakeClass","c","rho","weightVulnerable","meanWeight"
"1","Complex Cool Clear",0.166523151233547,1.00735056958628,0.664581902505177,1.65211269846548
"2","Complex Cool Dark",0.165462977924374,1.01788358232053,0.655325386050625,1.71495260269037
"3","Complex Riverine",0.157110008530102,1.04929505153887,0.653807016879509,1.89914250007986
"4","Complex Two Story",0.179890474947376,1.01565905377263,0.706469955644789,1.84214727921827
"5","Complex Warm Clear",0.218343787786612,0.952046097313024,0.624358553995595,1.60807635035849
"6","Complex Warm Dark",0.232007898607974,0.96714475572417,0.668016028803935,1.82270468127644
