"LakeClass","Species","vb_param","Percentile","value"
"Simple Warm Dark","Largemouth Bass","Linf","0.75_percentile",525.3467741
"Simple Warm Dark","Largemouth Bass","K","0.75_percentile",0.202228446
"Simple Warm Dark","Largemouth Bass","t0","0.75_percentile",-0.289407504
"Complex Cool Clear","Muskellunge","Linf","0.75_percentile",1160.558842
"Complex Cool Clear","Muskellunge","K","0.75_percentile",0.209700647
"Complex Cool Clear","Muskellunge","t0","0.75_percentile",-0.459938833
"Complex Cool Dark","Muskellunge","Linf","0.75_percentile",1267.07042
"Complex Cool Dark","Muskellunge","K","0.75_percentile",0.150708917
"Complex Cool Dark","Muskellunge","t0","0.75_percentile",-0.883951111
"Complex Riverine","Muskellunge","Linf","0.75_percentile",1266.84812
"Complex Riverine","Muskellunge","K","0.75_percentile",0.175783373
"Complex Riverine","Muskellunge","t0","0.75_percentile",-0.746074034
"Complex Two Story","Muskellunge","Linf","0.75_percentile",1218.222493
"Complex Two Story","Muskellunge","K","0.75_percentile",0.179100859
"Complex Two Story","Muskellunge","t0","0.75_percentile",-0.562338817
"Complex Warm Dark","Muskellunge","Linf","0.75_percentile",1212.952485
"Complex Warm Dark","Muskellunge","K","0.75_percentile",0.207207947
"Complex Warm Dark","Muskellunge","t0","0.75_percentile",-0.850928787
"Complex Cool Clear","Northern Pike","Linf","0.75_percentile",1056.949171
"Complex Cool Clear","Northern Pike","K","0.75_percentile",0.163777375
"Complex Cool Clear","Northern Pike","t0","0.75_percentile",-1.031195509
"Complex Cool Dark","Northern Pike","Linf","0.75_percentile",1301.295267
"Complex Cool Dark","Northern Pike","K","0.75_percentile",0.093206696
"Complex Cool Dark","Northern Pike","t0","0.75_percentile",-2.095807441
"Complex Riverine","Northern Pike","Linf","0.75_percentile",2333.311105
"Complex Riverine","Northern Pike","K","0.75_percentile",0.058617736
"Complex Riverine","Northern Pike","t0","0.75_percentile",-2.298859835
"Complex Two Story","Northern Pike","Linf","0.75_percentile",1626.038462
"Complex Two Story","Northern Pike","K","0.75_percentile",0.084748993
"Complex Two Story","Northern Pike","t0","0.75_percentile",-1.898423316
"Complex Warm Clear","Northern Pike","Linf","0.75_percentile",1861.820561
"Complex Warm Clear","Northern Pike","K","0.75_percentile",0.089117406
"Complex Warm Clear","Northern Pike","t0","0.75_percentile",-1.81453006
"Complex Warm Dark","Northern Pike","Linf","0.75_percentile",1211.708319
"Complex Warm Dark","Northern Pike","K","0.75_percentile",0.125194491
"Complex Warm Dark","Northern Pike","t0","0.75_percentile",-1.500848922
"Simple Riverine","Northern Pike","Linf","0.75_percentile",1340.742477
"Simple Riverine","Northern Pike","K","0.75_percentile",0.13046167
"Simple Riverine","Northern Pike","t0","0.75_percentile",-1.434634684
